0/1 loss,k,p
56,1,1
56,2,1
55,3,1
57,4,1
64,5,1
66,6,1
67,7,1
68,8,1
68,9,1
71,10,1
71,11,1
71,12,1
72,13,1
76,14,1
80,15,1
79,16,1
79,17,1
78,18,1
80,19,1
78,20,1
56,1,2
56,2,2
55,3,2
57,4,2
64,5,2
66,6,2
67,7,2
68,8,2
68,9,2
71,10,2
71,11,2
71,12,2
72,13,2
76,14,2
80,15,2
79,16,2
79,17,2
78,18,2
80,19,2
78,20,2
56,1,3
56,2,3
55,3,3
57,4,3
64,5,3
66,6,3
67,7,3
68,8,3
68,9,3
71,10,3
71,11,3
71,12,3
72,13,3
76,14,3
80,15,3
79,16,3
79,17,3
78,18,3
80,19,3
78,20,3
56,1,4
56,2,4
55,3,4
57,4,4
64,5,4
66,6,4
67,7,4
68,8,4
68,9,4
71,10,4
71,11,4
71,12,4
72,13,4
76,14,4
80,15,4
79,16,4
79,17,4
78,18,4
80,19,4
78,20,4
56,1,5
56,2,5
55,3,5
57,4,5
64,5,5
66,6,5
67,7,5
68,8,5
68,9,5
71,10,5
71,11,5
71,12,5
72,13,5
76,14,5
80,15,5
79,16,5
79,17,5
78,18,5
80,19,5
78,20,5
56,1,6
56,2,6
55,3,6
57,4,6
64,5,6
66,6,6
67,7,6
68,8,6
68,9,6
71,10,6
71,11,6
71,12,6
72,13,6
76,14,6
80,15,6
79,16,6
79,17,6
78,18,6
80,19,6
78,20,6
56,1,7
56,2,7
55,3,7
57,4,7
64,5,7
66,6,7
67,7,7
68,8,7
68,9,7
71,10,7
71,11,7
71,12,7
72,13,7
76,14,7
80,15,7
79,16,7
79,17,7
78,18,7
80,19,7
78,20,7
56,1,8
56,2,8
55,3,8
57,4,8
64,5,8
66,6,8
67,7,8
68,8,8
68,9,8
71,10,8
71,11,8
71,12,8
72,13,8
76,14,8
80,15,8
79,16,8
79,17,8
78,18,8
80,19,8
78,20,8
56,1,9
56,2,9
55,3,9
57,4,9
64,5,9
66,6,9
67,7,9
68,8,9
68,9,9
71,10,9
71,11,9
71,12,9
72,13,9
76,14,9
80,15,9
79,16,9
79,17,9
78,18,9
80,19,9
78,20,9
56,1,10
56,2,10
55,3,10
57,4,10
64,5,10
66,6,10
67,7,10
68,8,10
68,9,10
71,10,10
71,11,10
71,12,10
72,13,10
76,14,10
80,15,10
79,16,10
79,17,10
78,18,10
80,19,10
78,20,10
56,1,11
56,2,11
55,3,11
57,4,11
64,5,11
66,6,11
67,7,11
68,8,11
68,9,11
71,10,11
71,11,11
71,12,11
72,13,11
76,14,11
80,15,11
79,16,11
79,17,11
78,18,11
80,19,11
78,20,11
56,1,12
56,2,12
55,3,12
57,4,12
64,5,12
66,6,12
67,7,12
68,8,12
68,9,12
71,10,12
71,11,12
71,12,12
72,13,12
76,14,12
80,15,12
79,16,12
79,17,12
78,18,12
80,19,12
78,20,12
56,1,13
56,2,13
55,3,13
57,4,13
64,5,13
66,6,13
67,7,13
68,8,13
68,9,13
71,10,13
71,11,13
71,12,13
72,13,13
76,14,13
80,15,13
79,16,13
79,17,13
78,18,13
80,19,13
78,20,13
56,1,14
56,2,14
55,3,14
57,4,14
64,5,14
66,6,14
67,7,14
68,8,14
68,9,14
71,10,14
71,11,14
71,12,14
72,13,14
76,14,14
80,15,14
79,16,14
79,17,14
78,18,14
80,19,14
78,20,14
56,1,15
56,2,15
55,3,15
57,4,15
64,5,15
66,6,15
67,7,15
68,8,15
68,9,15
71,10,15
71,11,15
71,12,15
72,13,15
76,14,15
80,15,15
79,16,15
79,17,15
78,18,15
80,19,15
78,20,15
