0/1 loss,k,p
269,1,1
269,2,1
270,3,1
249,4,1
274,5,1
271,6,1
291,7,1
272,8,1
290,9,1
291,10,1
298,11,1
303,12,1
309,13,1
307,14,1
323,15,1
321,16,1
329,17,1
331,18,1
333,19,1
338,20,1
242,1,2
242,2,2
219,3,2
219,4,2
235,5,2
237,6,2
245,7,2
247,8,2
250,9,2
266,10,2
264,11,2
267,12,2
277,13,2
279,14,2
283,15,2
285,16,2
287,17,2
287,18,2
294,19,2
295,20,2
226,1,3
226,2,3
199,3,3
207,4,3
220,5,3
232,6,3
234,7,3
233,8,3
239,9,3
251,10,3
254,11,3
256,12,3
258,13,3
254,14,3
274,15,3
270,16,3
280,17,3
272,18,3
288,19,3
286,20,3
220,1,4
220,2,4
196,3,4
201,4,4
208,5,4
222,6,4
230,7,4
226,8,4
227,9,4
231,10,4
233,11,4
247,12,4
248,13,4
242,14,4
265,15,4
259,16,4
265,17,4
263,18,4
276,19,4
275,20,4
219,1,5
219,2,5
184,3,5
203,4,5
207,5,5
208,6,5
221,7,5
221,8,5
230,9,5
224,10,5
228,11,5
229,12,5
239,13,5
236,14,5
247,15,5
247,16,5
263,17,5
260,18,5
263,19,5
274,20,5
214,1,6
214,2,6
183,3,6
197,4,6
203,5,6
199,6,6
217,7,6
214,8,6
227,9,6
217,10,6
218,11,6
220,12,6
232,13,6
230,14,6
249,15,6
243,16,6
249,17,6
255,18,6
256,19,6
262,20,6
213,1,7
213,2,7
175,3,7
193,4,7
197,5,7
198,6,7
212,7,7
210,8,7
222,9,7
216,10,7
221,11,7
216,12,7
227,13,7
233,14,7
244,15,7
242,16,7
250,17,7
245,18,7
252,19,7
260,20,7
208,1,8
208,2,8
173,3,8
189,4,8
193,5,8
190,6,8
210,7,8
207,8,8
214,9,8
206,10,8
214,11,8
213,12,8
223,13,8
228,14,8
237,15,8
242,16,8
247,17,8
246,18,8
258,19,8
260,20,8
208,1,9
208,2,9
174,3,9
187,4,9
192,5,9
191,6,9
214,7,9
204,8,9
208,9,9
206,10,9
222,11,9
214,12,9
223,13,9
227,14,9
231,15,9
240,16,9
243,17,9
245,18,9
257,19,9
258,20,9
211,1,10
211,2,10
177,3,10
187,4,10
197,5,10
191,6,10
211,7,10
204,8,10
208,9,10
212,10,10
224,11,10
215,12,10
222,13,10
227,14,10
235,15,10
239,16,10
235,17,10
247,18,10
253,19,10
255,20,10
215,1,11
215,2,11
178,3,11
184,4,11
197,5,11
191,6,11
211,7,11
205,8,11
214,9,11
213,10,11
218,11,11
215,12,11
220,13,11
228,14,11
238,15,11
237,16,11
234,17,11
250,18,11
247,19,11
254,20,11
212,1,12
212,2,12
178,3,12
185,4,12
195,5,12
194,6,12
212,7,12
205,8,12
212,9,12
211,10,12
217,11,12
214,12,12
219,13,12
226,14,12
234,15,12
233,16,12
237,17,12
247,18,12
249,19,12
257,20,12
211,1,13
211,2,13
183,3,13
185,4,13
194,5,13
196,6,13
212,7,13
205,8,13
215,9,13
212,10,13
218,11,13
214,12,13
218,13,13
222,14,13
229,15,13
230,16,13
235,17,13
244,18,13
247,19,13
254,20,13
212,1,14
212,2,14
184,3,14
188,4,14
195,5,14
191,6,14
211,7,14
207,8,14
209,9,14
212,10,14
216,11,14
210,12,14
214,13,14
225,14,14
226,15,14
234,16,14
236,17,14
246,18,14
247,19,14
257,20,14
211,1,15
211,2,15
186,3,15
189,4,15
196,5,15
190,6,15
207,7,15
204,8,15
209,9,15
212,10,15
218,11,15
210,12,15
216,13,15
227,14,15
228,15,15
235,16,15
239,17,15
249,18,15
251,19,15
255,20,15
