0/1 loss,k,p
236,1,1
236,2,1
225,3,1
225,4,1
236,5,1
227,6,1
241,7,1
238,8,1
245,9,1
259,10,1
263,11,1
273,12,1
281,13,1
278,14,1
290,15,1
294,16,1
298,17,1
297,18,1
300,19,1
300,20,1
205,1,2
205,2,2
205,3,2
194,4,2
210,5,2
202,6,2
220,7,2
230,8,2
227,9,2
234,10,2
243,11,2
245,12,2
243,13,2
238,14,2
252,15,2
251,16,2
263,17,2
260,18,2
269,19,2
270,20,2
190,1,3
190,2,3
193,3,3
181,4,3
195,5,3
191,6,3
207,7,3
196,8,3
210,9,3
217,10,3
232,11,3
229,12,3
241,13,3
235,14,3
242,15,3
244,16,3
246,17,3
249,18,3
264,19,3
265,20,3
186,1,4
186,2,4
184,3,4
180,4,4
187,5,4
178,6,4
192,7,4
198,8,4
210,9,4
210,10,4
229,11,4
222,12,4
232,13,4
235,14,4
240,15,4
242,16,4
251,17,4
248,18,4
257,19,4
258,20,4
177,1,5
177,2,5
179,3,5
174,4,5
181,5,5
174,6,5
182,7,5
196,8,5
199,9,5
203,10,5
219,11,5
215,12,5
234,13,5
230,14,5
240,15,5
235,16,5
242,17,5
242,18,5
250,19,5
252,20,5
176,1,6
176,2,6
173,3,6
176,4,6
176,5,6
165,6,6
181,7,6
187,8,6
194,9,6
201,10,6
210,11,6
211,12,6
227,13,6
227,14,6
234,15,6
230,16,6
240,17,6
238,18,6
248,19,6
247,20,6
175,1,7
175,2,7
174,3,7
180,4,7
183,5,7
170,6,7
181,7,7
183,8,7
199,9,7
200,10,7
204,11,7
210,12,7
222,13,7
223,14,7
227,15,7
227,16,7
239,17,7
240,18,7
246,19,7
250,20,7
182,1,8
182,2,8
183,3,8
178,4,8
187,5,8
172,6,8
184,7,8
185,8,8
198,9,8
195,10,8
203,11,8
212,12,8
223,13,8
227,14,8
230,15,8
227,16,8
236,17,8
243,18,8
242,19,8
250,20,8
188,1,9
188,2,9
184,3,9
179,4,9
187,5,9
174,6,9
187,7,9
184,8,9
203,9,9
201,10,9
200,11,9
212,12,9
226,13,9
226,14,9
231,15,9
228,16,9
232,17,9
240,18,9
245,19,9
250,20,9
190,1,10
190,2,10
182,3,10
179,4,10
185,5,10
180,6,10
189,7,10
186,8,10
201,9,10
197,10,10
204,11,10
206,12,10
225,13,10
225,14,10
230,15,10
231,16,10
233,17,10
236,18,10
240,19,10
245,20,10
194,1,11
194,2,11
185,3,11
181,4,11
190,5,11
180,6,11
190,7,11
185,8,11
201,9,11
196,10,11
207,11,11
209,12,11
221,13,11
222,14,11
227,15,11
230,16,11
237,17,11
242,18,11
241,19,11
244,20,11
199,1,12
199,2,12
185,3,12
182,4,12
195,5,12
183,6,12
195,7,12
183,8,12
199,9,12
199,10,12
208,11,12
208,12,12
219,13,12
221,14,12
228,15,12
227,16,12
242,17,12
243,18,12
242,19,12
245,20,12
201,1,13
201,2,13
184,3,13
185,4,13
198,5,13
182,6,13
194,7,13
185,8,13
195,9,13
199,10,13
210,11,13
212,12,13
220,13,13
220,14,13
224,15,13
226,16,13
236,17,13
239,18,13
242,19,13
246,20,13
199,1,14
199,2,14
185,3,14
184,4,14
199,5,14
182,6,14
195,7,14
186,8,14
199,9,14
202,10,14
211,11,14
210,12,14
218,13,14
214,14,14
221,15,14
225,16,14
234,17,14
237,18,14
238,19,14
245,20,14
203,1,15
203,2,15
185,3,15
180,4,15
197,5,15
183,6,15
191,7,15
189,8,15
205,9,15
206,10,15
212,11,15
209,12,15
220,13,15
215,14,15
223,15,15
221,16,15
232,17,15
236,18,15
236,19,15
248,20,15
